Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2025-04-26T15:38:09.349295Z,,CASH TOP-UP,,,USD 223,USD,1.1379
2025-04-26T15:40:31.668209Z,,CASH WITHDRAWAL,,,USD -64,USD,1.1379
2025-04-26T15:42:55.086814Z,,CASH TOP-UP,,,USD 64,USD,1.1379
2025-04-28T16:22:15.804Z,GOOGL,BUY - LIMIT,1,USD 159,USD 159,USD,1.1414
2025-05-02T08:19:57.892041Z,,CASH WITHDRAWAL,,,USD -64,USD,1.1342
2025-05-23T19:24:19.170630Z,,CASH TOP-UP,,,EUR 329,EUR,1.0000
2025-05-26T06:04:55.705Z,ENL,BUY - MARKET,40.4019668,EUR 8.14,EUR 329,EUR,1.0000
2025-06-02T17:42:33.902880Z,,CASH TOP-UP,,,EUR 117.14,EUR,1.0000
2025-06-02T17:43:26.489Z,AJ3,BUY - MARKET,0.81527196,EUR 143.40,EUR 117.14,EUR,1.0000
2025-06-17T15:20:54.197182Z,GOOGL,DIVIDEND,,,USD 0.18,USD,1.1555
2025-06-30T20:24:19.679602Z,,CASH TOP-UP,,,EUR 109.66,EUR,1.0000
2025-06-30T21:47:09.140975Z,,CASH TOP-UP,,,USD 107.82,USD,1.1809
2025-07-01T10:18:40.487Z,41L,BUY - LIMIT,2,EUR 54.70,EUR 109.62,EUR,1.0000
2025-07-01T13:31:11.024Z,FSS,BUY - MARKET,1.0060275,USD 106.18,USD 108,USD,1.1822
2025-07-02T21:22:14.883440Z,GOOGL,DIVIDEND TAX (CORRECTION),,,USD -0.03,USD,1.1826
2025-07-02T21:22:14.973999Z,GOOGL,DIVIDEND TAX (CORRECTION),,,USD 0.03,USD,1.1826
2025-07-10T15:35:07.088798Z,AJ3,DIVIDEND,,,EUR 3.48,EUR,1.0000
2025-07-11T15:02:00.441067Z,,CASH TOP-UP,,,EUR 100,EUR,1.0000
2025-07-14T07:38:22.676Z,ENL,BUY - LIMIT,12,EUR 7.95,EUR 96.50,EUR,1.0000
2025-07-18T08:06:06.619074Z,,CASH TOP-UP,,,USD 115.53,USD,1.1664
2025-07-21T13:31:40.254Z,MU,BUY - LIMIT,1,USD 112.80,USD 113.96,USD,1.1689
2025-07-24T14:47:25.253911Z,41L,DIVIDEND,,,EUR 1.51,EUR,1.0000
2025-07-24T14:48:00.267703Z,ENL,DIVIDEND,,,EUR 9.88,EUR,1.0000
2025-07-27T00:19:45.416391Z,,CASH WITHDRAWAL,,,EUR -18.41,EUR,1.0000
2025-07-30T17:14:45.409Z,FSS,SELL - MARKET,0.5,USD 127.66,USD 63.82,USD,1.1505
2025-07-30T17:27:24.482Z,FSS,SELL - MARKET,0.5060275,USD 126.61,USD 62.91,USD,1.1504
2025-08-01T13:19:23.807Z,MU,BUY - LIMIT,1,USD 105.50,USD 106.64,USD,1.1578
2025-08-18T06:00:27.504Z,AJ3,SELL - MARKET,0.81527196,EUR 174.40,EUR 141.18,EUR,1.0000
2025-08-20T13:30:35.825Z,MU,SELL - STOP,2,USD 117.38,USD 233.59,USD,1.1689
2025-08-27T07:01:10.132525Z,,CASH TOP-UP,,,EUR 0.08,EUR,1.0000
2025-08-27T07:01:34.838231Z,,CASH TOP-UP,,,EUR 4.92,EUR,1.0000
2025-08-27T07:03:57.985496Z,,CASH TOP-UP,,,EUR 13.23,EUR,1.0000
2025-08-27T07:05:22.136Z,OZTA,BUY - MARKET,12,EUR 12.17,EUR 147.33,EUR,1.0000
2025-08-28T13:30:29Z,RL,BUY - MARKET,0.85606367,USD 296.52,USD 255,USD,1.1686
2025-09-15T15:30:03.604981Z,GOOGL,DIVIDEND,,,USD 0.18,USD,1.1791
2025-09-19T19:03:02.996Z,GOOGL,SELL - LIMIT,1,USD 255,USD 254.99,USD,1.1775
2025-09-22T17:42:57Z,NVDA,BUY - MARKET,1.39008721,USD 182.89,USD 255.42,USD,1.1820
2025-09-30T19:13:20.895917Z,,CASH WITHDRAWAL,,,EUR -12.08,EUR,1.0000
2025-10-02T18:32:26.254Z,ENL,SELL - MARKET,22,EUR 8.10,EUR 177.29,EUR,1.0000
2025-10-06T20:54:02.198339Z,,CASH WITHDRAWAL,,,EUR -177.29,EUR,1.0000
2025-10-13T15:19:53.047762Z,RL,DIVIDEND,,,USD 0.66,USD,1.1595
2025-10-20T17:52:25.719Z,OZTA,SELL - MARKET,12,EUR 11.72,EUR 139.58,EUR,1.0000
2025-10-20T17:56:14.664261Z,,CASH TOP-UP,,,EUR 269.50,EUR,1.0000
2025-10-20T17:58:18.409337Z,,CASH WITHDRAWAL,,,EUR -269,EUR,1.0000
2025-10-20T17:58:34.144040Z,,CASH TOP-UP,,,USD 264,USD,1.1670
2025-10-20T18:47:05Z,AAPL,BUY - LIMIT,1,USD 263.05,USD 264.21,USD,1.1671
2025-10-22T13:46:27.114Z,ENL,SELL - STOP,30,EUR 8.45,EUR 253.44,EUR,1.0000
2025-10-23T23:28:05.367269Z,,CASH WITHDRAWAL,,,EUR -140.08,EUR,1.0000
2025-10-24T22:22:29.681862Z,,CASH WITHDRAWAL,,,EUR -253.44,EUR,1.0000
2025-11-01T17:24:03.025160Z,,CASH TOP-UP,,,EUR 106.33,EUR,1.0000
2025-11-03T08:15:58.097Z,VHM,BUY - LIMIT,28,EUR 3.79,EUR 106.33,EUR,1.0000
2025-11-11T17:59:47.003935Z,,CASH TOP-UP,,,EUR 507,EUR,1.0000
2025-11-12T20:26:01.762920Z,,CASH WITHDRAWAL,,,EUR -507,EUR,1.0000
2025-11-12T20:37:18.287451Z,,CASH TOP-UP,,,USD 300,USD,1.1613
2025-11-12T20:37:19Z,AIZ,BUY - MARKET,1.31618586,USD 227.05,USD 300,USD,1.1613
2025-11-14T10:11:33.590938Z,AAPL,DIVIDEND,,,USD 0.22,USD,1.1646
2025-12-29T23:21:28.140077Z,NVDA,DIVIDEND,,,USD 0.01,USD,1.1799
2025-12-30T10:38:04.432262Z,AIZ,DIVIDEND,,,USD 0.98,USD,1.1802
2026-01-10T14:08:54.343986Z,,CASH TOP-UP,,,EUR 300,EUR,1.0000
2026-01-12T07:00:18.391Z,REP,BUY - MARKET,18.25609756,EUR 16.40,EUR 300,EUR,1.0000
2026-01-12T17:44:31.827593Z,RL,DIVIDEND,,,USD 0.66,USD,1.1698
2026-01-21T17:04:53.284443Z,ENL,DIVIDEND,,,EUR 0.06,EUR,1.0000
2026-01-27T18:37:34.935456Z,,CASH TOP-UP,,,EUR 400,EUR,1.0000
2026-01-27T18:38:19.903Z,7LB,BUY - MARKET,0.04100719,EUR 9730,EUR 400,EUR,1.0000
2026-01-30T07:00:12.157Z,ENL,SELL - MARKET,0.4019668,EUR 9.23,EUR 3.71,EUR,1.0000
2026-02-03T19:06:53.698303Z,VHM,DIVIDEND,,,EUR 1.11,EUR,1.0000
2026-02-13T09:31:22.497581Z,AAPL,DIVIDEND,,,USD 0.22,USD,1.1889
