Symbol,Side,Qty,Fill Price,Commission,Closing Time
MIL:ENEL,Sell,30,8.45,0,2025-10-21 00:00:00
NASDAQ:AAPL,Buy,1,263.05,1.16,2025-10-20 20:47:00
BME:GRF,Sell,12,11.72,1,2025-10-20 19:52:00
MIL:ENEL,Sell,22,8.1,1,2025-10-02 20:32:00
NASDAQ:NVDA,Buy,1.39,182.89,1.18,2025-09-22 19:42:00
NASDAQ:GOOGL,Sell,1,255,0.01,2025-09-19 21:03:00
NYSE:RL,Buy,0.862,296.52,1.16,2025-08-28 15:30:00
BME:GRF,Buy,12,12.17,1.29,2025-08-27 07:05:22
NASDAQ:MU,Sell,2,117.38,1.18,2025-08-20 13:30:35
BME:ANA,Sell,0.815,174.4,1,2025-08-18 06:00:27
NASDAQ:MU,Buy,1,105.5,1.14,2025-08-01 13:19:23
NYSE:FSS,Sell,0.506,126.61,1.16,2025-07-30 17:27:24
NYSE:FSS,Sell,0.5,127.66,0.01,2025-07-30 17:14:45
NASDAQ:MU,Buy,1,112.8,1.16,2025-07-21 13:31:40
MIL:ENEL,Buy,12,7.95,1.1,2025-07-14 07:38:22
NYSE:FSS,Buy,1.006,106.18,1.18,2025-07-01 13:31:11
BME:ROVI,Buy,2,54.7,0.22,2025-07-01 10:18:40
BME:ANA,Buy,0.815,143.4,0.23,2025-06-02 17:43:26
MIL:ENEL,Buy,40.402,8.14,0.33,2025-05-26 06:04:55
NASDAQ:GOOGL,Buy,1,159,0,2025-04-28 16:22:15
$CASH,Deposit,978,,,2025-10-23 20:04:53
NASDAQ:GOOGL,Dividend,0.18,,,2025-06-17 00:00:00
NASDAQ:GOOGL,Dividend,0,,,2025-07-02 00:00:00
BME:ANA,Dividend,4.07,,,2025-07-10 00:00:00
MIL:ENEL,Dividend,11.6,,,2025-07-24 00:00:00
BME:ROVI,Dividend,1.77,,,2025-07-24 00:00:00
NASDAQ:GOOGL,Dividend,0.18,,,2025-09-15 00:00:00
NYSE:RL,Dividend,0.66,,,2025-10-13 00:00:00